date,sunspots,definite
1818-01-11,,1
1818-01-12,,1
1818-01-13,22.0,1
1818-01-14,32.0,1
1818-01-15,,1
1818-01-16,,1
1818-01-17,54.0,1
1818-01-18,,1
1818-01-19,34.0,1
